a bit	m?t chút, m?t it
highlight	làm n?i b?t, nêu b?t; ch? n?i b?t nh?t, d?p, sáng nh?t
highly	t?t, cao; h?t s?c, ? m?c d? cao
highway	du?ng qu?c l?
hill	d?i
him	nó, h?n, ông ?y, anh ?y
himself	chính nó, chính h?n, chính ông ta, chính anh ta
hip	hông
hire	thuê, cho thuê ; s? thuê, s? cho thuê
his	c?a nó, c?a h?n, c?a ông ?y, c?a anh ?y; cái c?a nó, cái c?a h?n, cái c?a ông ?y, cái c?a anh ?y
historical	l?ch s?, thu?c l?ch s?
history	l?ch s?, s? h?c
hit	dánh, d?m, ném trúng; dòn, cú d?m
hoanloose	l?ng, không ch?t
hobby	s? thích riêng
hoever	ai, ngu?i nào, b?t c? ai, b?t c? ngu?i nào, dù ai
hold	c?m, n?m, gi?; s? c?m, s? n?m gi?
hole	l?, l? tr?ng; hang
holiday	ngày l?, ngày ngh?
hollow	r?ng, tr?ng r?ng
holy	linh thiêng; sùng d?o
home	nhà; ? t?i nhà, nu?c mình
homework	bài t?p v? nhà , công vi?c làm ? nhà
honest	luong thi?n, trung th?c, chân th?t
honestly	luong thi?n, trung th?c, chân th?t
honour	danh d?, thanh danh, lòng kính tr?ng
hook	cái móc; b?n l?; lu?i câu
hope	hy v?ng; ngu?n hy v?ng
horn	s?ng
horror	di?u kinh kh?ng, s? ghê r?n
horse	ng?a
hospital	b?nh vi?n, nhà thuong
host	ch? nhà, ch? ti?c; d?n
hot	nóng, nóng b?c
hotel	khách s?n
hour	gi?
house	nhà, can nhà, toàn nhà
household	h?, gia dình;  gia dình
housing	noi an ch?n ?
how	th? nào, nhu th? nào, làm sao, ra sao
however	tuy nhiên, tuy v?y, dù th? nào
huge	to l?n, kh?ng l?
human	con ngu?i, loài ngu?i
humorous	hài hu?c, hóm h?nh
humour	s? hài hu?c, s? hóm h?nh
hungry	dó
hunt	san, di san
hunting	s? di san
hurry	s? v?i vàng, s? g?p rút
hurt	làm b? thuong, gây thi?t h?i
husband	ngu?i ch?ng
ice	bang, nu?c dá
ice cream	kem
idea	ý tu?ng, quan ni?m
ideal	quan ni?m, tu tu?ng; lý tu?ng
ideally	lý tu?ng, dúng nhu lý tu?ng
identify	nh?n bi?t, nh?n ra, nh?n d?ng
identity	cá tính, nét nh?n d?ng; tính d?ng nh?t, gi?ng h?t
if	n?u, n?u nhu
ignore	ph?t l?, t? ra không bi?t d?n
ill	?m
illegal	trái lu?t, b?t h?p pháp
illegally	trái lu?t, b?t h?p pháp
illness	s? dau y?u, ?m, b?nh t?t
illustrate	minh h?a, làm rõ ý
image	?nh, hình ?nh
imaginary	tu?ng tu?ng, ?o
imagination	trí tu?ng tu?ng, s? tu?ng tu?ng
imagine	tu?ng tu?ng, hình dung; tu?ng r?ng, cho r?ng
immediate	l?p t?c, t?c thì
immediately	ngay l?p t?c
immoral	trái d?o d?c, luân lý; x?u xa
impact	s? và ch?m, s? tác d?ng, ?nh hu?ng
impatient	thi?u kiên nh?n, nóng v?i
impatiently	nóng lòng, s?t ru?t
implication	s? lôi kéo, s? liên can, di?u g?i ý
imply	ng? ý, bao hàm
import	s? nh?p, s? nh?p kh?u; nh?p, nh?p kh?u
importance	s? quan tr?ng, t?m quan tr?ng
important	quan tr?ng, h? tr?ng
importantly	quan tr?ng, tr?ng y?u
impose	dánh , b?t gánh vác; dánh tráo, l?i d?ng
impossible	không th? làm du?c, không th? x?y ra
impress	ghi, kh?c, in sâu vào; gây ?n tu?ng, làm c?m d?ng
impressed	du?c ghi, kh?c, in sâu vào
impression	?n tu?ng, c?m giác; s? in, dóng d?u
impressive	g?y ?n tu?ng m?nh; hùng vi, oai v?
improve	c?i thi?n, cái ti?n, m? mang
improvement	s? cái thi?n, s? c?i ti?n, s? m? mang
in	?, t?i, trong; vào
in addition	thêm vào
in advance	tru?c, s?m
in case	n?u......
in charge of	ph? trách
in common	s? chung, c?a chung
in exchange	trong vi?c trao d?i v?
in favour/favor	?ng h? cái gì
in front	? phía tru?c
in general	nói chung, d?i khái
in memory of	s? tu?ng nh?
in order to	h?p l?
in public	gi?a công chúng, công khai
in spite of	m?c dù, b?t ch?p
in the end	cu?i cùng, v? sau
inability	s? b?t l?c, b?t tài
inch	inso
incident	vi?c x?y ra, vi?c có liên quan
include	bao g?m, tính c?
including	bao g?m, k? c?
income	l?i t?c, thu nh?p
increase	tang, tang thêm; s? tang, s? tang thêm
increasingly	tang thêm
indeed	th?t v?y, qu? th?t
independence	s? d?c l?p, n?n d?c l?p
independent	d?c l?p
independently	d?c l?p
index	ch? s?, s? bi?u th?
indicate	ch?, cho bi?t; bi?u th?, trình bày ng?n g?n
indication	s? ch?, s? bi?u th?, s? bi?u l?
indirect	gián ti?p
indirectly	gián ti?p
individual	riêng, riêng bi?t; cá nhân
indoor	trong nhà
indoors	? trong nhà
industrial	công nghi?p, k? ngh?
industry	công nghi?p, k? ngh?
inevitable	không th? tránh du?c, ch?c ch?n x?y ra; v?n thu?ng th?y, nghe
inevitably	ch?c ch?n
infect	nhi?m, tiêm nhi?m, d?u d?c, lan truy?n
infected	b? nhi?m, b? d?u d?c
infection	s? nhi?m, s? d?u d?c
infectious	lây, nhi?m
influence	s? ?nh hu?ng, s? tác d?ng; ?nh hu?ng, tác d?ng
inform	báo cho bi?t, cung c?p tin t?c
informal	không chính th?c, không nghi th?c
information	tin t?c, tài li?u, ki?n th?c
ingredient	ph?n h?p thành, thành ph?n
initial	ban d?u, lúc d?u; ch? d?u
initially	vào lúc ban d?u, ban d?u
initiative	bu?c d?u, s? kh?i d?u
injure	làm t?n thuong, làm h?i, xúc ph?m
injured	b? t?n thuong, b? xúc ph?m
injury	s? làm t?n thuong, làm h?i; di?u h?i, di?u t?n h?i
ink	m?c
inner	? trong, n?i b?; thân c?n
innocent	vô t?i, trong tr?ng, ngây tho
insect	sâu b?, côn trùng
insert	chèn vào, l?ng vào
inside	m?t trong, phía, ph?n trong; ? trong, n?i b?
insist	c? nh?t d?nh, c? khang khang
install	d?t
instance	thí d?, ví d?; tru?ng h?p cá bi?t
instead	d? thay th?
instead of	thay cho
institute	vi?n, h?c vi?n
institution	s? thành l?p, l?p; co quan, tr? s?
instruction	s? d?y, tài li?u cung c?p
instrument	d?ng c? âm nh?c khí
insult	lang m?, x? nh?c; l?i lang m?, s? x? nh?c
insulting	lang m?, x? nh?c
insurance	s? b?o hi?m
intelligence	s? hi?u bi?t, trí thông minh
intelligent	thông minh, sáng trí
intend	ý d?nh, có ý d?nh
intended	có ý d?nh, có d?ng ý
intention	ý d?nh, m?c dích
interest	s? thích thú, s? quan tâm, chú ý; làm quan tâm, làm chú ý
interested	có thích thú, có quan tâm, có chú ý
interesting	làm thích thú, làm quan tâm, làm chú ý
interior	ph?n trong, phía trong; ? trong, ? phía trong
internal	? trong, bên trong, n?i d?a
international	qu?c t?
internet	liên m?ng
interpret	gi?i thích
interpretation	s? gi?i thích
interrupt	làm gián do?n, ng?t l?i
interruption	s? gián do?n, s? ng?t l?i
interval	kho?ng , kho?ng cách
interview	cu?c ph?ng v?n, s? g?p m?t; ph?ng v?n, nói chuy?n riêng
into	vào, vào trong
introduce	gi?i thi?u
introduction	s? gi?i thi?u, l?i gi?i thi?u
invent	phát minh, sáng ch?
invention	s? phát minh, s? sáng ch?
invest	d?u tu
investigate	di?u tra, nghiên c?u
investigation	s? di?u tra, nghiên c?u
investment	s? d?u tu, v?n d?u tu
invitation	l?i m?i, s? m?i
invite	m?i
involve	bao g?m, bao hàm; thu hút, d?n tâm trí
involvement	s? g?m, s? bao hàm; s? d?, d?n h?t tâm trí vào
iron	s?t; b?c s?t
irritate	làm phát cáu, ch?c t?c
irritated	t?c gi?n, cáu ti?t
irritating	làm phát cáu, ch?c t?c
island	hòn d?o
issue	s? phát ra, s? phát sinh; phát hành, dua ra
it	cái dó, di?u dó, con v?t dó
item	tin t?c; kho?n.., món..., ti?t m?c
its	c?a cái dó, c?a di?u dó, c?a con v?t dó; cái c?a di?u dó, cái c?a con v?t dó
itself	chính cái dó, chính di?u dó, chính con v?t dó
jacket	áo vét
jam	m?t
january	tháng giêng
jealous	ghen,, ghen t?
jeans	qu?n bò, qu?n zin
jelly	th?ch
jewellery	n? trang, kim hoàn
job	vi?c, vi?c làm
join	gia nh?p, tham gia; n?i, ch?p, ghép
joint	chung ; ch? n?i, d?u n?i
jointly	cùng nhau, cùng chung
joke	trò cu?i, l?i nói dùa; nói dùa, gi?u c?t
journalist	nhà báo
journey	cu?c hành trình ; quãng du?ng, ch?ng du?ng di
joy	ni?m vui, s? vui m?ng
judge	xét x?, phân x?; quan tòa, th?m phán
judgement	s? xét x?
juice	nu?c ép
july	tháng 7
jump	nh?y; s? nh?y, bu?c nh?y
june	tháng 6
junior	tr? hon, ít tu?i hon; ngu?i ít tu?i hon
just	dúng, v?a d?; v?a m?i, ch?
justice	s? công b?ng
justified	h?p lý, du?c ch?ng minh là dúng
justify	bào ch?a, bi?n h?
keen	s?c, bén
keen on	say mê, ua thích
keep	gi?, gi? l?i
key	chìa khóa, khóa, thu?c
keyboard	bàn phím
kick	dá; cú dá
kid	con dê non
kill	gi?t, tiêu di?t
killing	s? gi?t chóc, s? tàn sát
kilogram	kilôgam
kilometre	kilômet
kind	lo?i, gi?ng; t? t?, có lòng t?t
kindly	t? t?, t?t b?ng
kindness	s? t? t?, lòng t?t
king	vua, qu?c vuong
kiss	hôn, cái hôn
kitchen	b?p
knee	d?u g?i
knife	dan, thêu
knitted	du?c dan, du?c thêu
knitting	vi?c dan; hàng d?t kim
knock	dánh, d?p; cú dánh
knot	cái no; di?m nút, di?m trung tâm
know	bi?t
knowledge	s? hi?u bi?t, tri th?c
label	nhãn, mác; dán nhãn, ghi mác
laboratory, lab	phòng thí nghi?m
labour	lao d?ng; công vi?c
lack	s? thi?u; thi?u
lacking	ngu d?n, ngây ngô
lady	ngu?i yêu, v?, quý bà, ti?u thu
lake	h?
lamp	dèn
land	d?t, d?t canh tác, d?t dai
landscape	phong c?nh
lane	du?ng nh?
language	ngôn ng?
large	r?ng, l?n, to
largely	phong phú, ? m?c d? l?n
last	l?m cu?i, sau cùng; ngu?i cu?i cùng; cu?i cùng, r?t h?t;
late	tr?, mu?n
later	ch?m hon
latest	mu?n nh?t, ch?m nh?t, g?n dây nh?t
latter	sau cùng, g?n dây, m?i dây
laugh	cu?i; ti?ng cu?i
launch	h? th?y ; khai truong; s? h? th?y, bu?i gi?i thi?u s?n ph?m
law	lu?t
lawyer	lu?t su
lay	x?p, d?t, b? trí
layer	l?p
lazy	lu?i bi?ng
lead	lãnh d?o, d?n d?t; s? lãnh d?o, s? hu?ng d?n
leader	ngu?i lãnh d?o, lãnh t?
leading	lãnh d?o, d?n d?u
leaf	lá cây, lá
league	liên minh, liên hoàn
lean	nghiêng, d?a, ? vào
learn	h?c, nghiên c?u
least	t?i thi?u; ít nh?t
leather	da thu?c
leave	b? di, r?i di, d? l?i
leave out	b? quên, b? sót
lecture	bài di?n thuy?t, bài thuy?t trình, bài nói chuy?n
left	bên trái; v? phía trái
leg	chân
legal	h?p pháp
legally	h?p pháp
lemon	qu? chanh
lend	cho vay, cho mu?n
length	chi?u dài, d? dài
less	nh? bé, ít hon; s? lu?ng ít hon
lesson	bài h?c
let	cho phép, d? cho
letter	thu; ch? cái, m?u t?
level	trình d?, c?p, v? trí; b?ng, ngang b?ng
library	thu vi?n
licence	b?ng, ch?ng ch?, b?ng c? nhân; s? cho phép
license	c?p ch?ng ch?, c?p b?ng, cho phép
lid	n?p, vung
lie	nói d?i; l?i nói d?i, s? d?i trá
life	d?i, s? s?ng
lift	gio lên, nh?c lên; s? nâng, s? nh?c lên
light	ánh sáng; nh?, nh? nhàng; d?t, th?p sáng
lightly	nh? nhàng
like	gi?ng nhu; thích; nhu
likely	có th? dúng, có th? x?y ra, có kh? nang; có th?, ch?c v?y
limit	gi?i h?n, ranh gi?i; gi?i h?n, h?n ch?
limited	h?n ch?, có gi?i h?n
line	dây, du?ng, tuy?n
link	m?t xích, m?i liên l?c; liên k?t, k?t n?i
lip	môi
liquid	ch?t l?ng; l?ng, êm ái, du duong, không v?ng
list	danh sách; ghi vào danh sách
listen	nghe, l?ng nghe
literature	van chuong, van h?c
litre	lít
little	nh?, bé, chút ít; không nhi?u; m?t chút
live	s?ng
lively	s?ng, sinh d?ng
living	s?ng, dang s?ng
load	gánh n?ng, v?t n?ng; ch?t, ch?
loan	s? vay mu?n
local	d?a phuong, b? ph?n, c?c b?
locally	có tính ch?t d?a phuong, c?c b?
locate	xác d?nh v? trí, d?nh v?
located	d?nh v?
location	v? trí, s? d?nh v?
lock	khóa; khóa
logic	lô gic
logical	h?p lý, h?p logic
lonely	cô don, bo vo
long	dài, xa; lâu
look	nhìn; cái nhìn
look after	trông nom, cham sóc
look at	nhìn, ng?m, xem
look for	tìm ki?m
look forward to	mong d?i cách hân
loosely	l?ng l?o
lord	chúa, vua
lorry	xe t?i
lose	m?t, thua, l?c
loss	s? m?t, s? thua
lost	thua, m?t
lot	s? lu?ng l?n; r?t nhi?u
loud	to, inh ?i, ?m i; to, l?n
loudly	?m i, inh ?i
love	tình yêu, lòng yêu thuong; yêu, thích
lovely	d?p, xinh x?n, có duyên
lover	ngu?i yêu, ngu?i tình
low	th?p, bé, lùn
loyal	trung thành, trung kiên
luck	may m?n, v?n may
lucky	g?p may, g?p may m?n, h?nh phúc
luggage	hành lý
lump	c?c, t?ng, mi?ng; cái bu?u
lunch	b?a an trua
lung	ph?i
machine	máy, máy móc
machinery	máy móc, thi?t b?
mad	diên, m?t trí; b?c diên ngu?i
magazine	t?p chí
magic	ma thu?t, ?o thu?t;  ma thu?t, ?o thu?t
mail	thu t?, buu ki?n; g?i qua buu di?n
main	chính, ch? y?u, tr?ng y?u nh?t
mainly	chính, ch? y?u, ph?n l?n
maintain	gi? gìn, duy trì, b?o v?
major	l?n, nhi?u hon, tr?ng d?i, ch? y?u
majority	ph?n l?n, da s?, uu th?
make	làm, ch? t?o; s? ch? t?o
make fun of	dùa c?t, ch? gi?u, ch? nh?o
make sth up	làm thành, c?u thành, g?p thành
make sure	ch?c ch?n, làm cho ch?c ch?n
make-up	d? hóa trang, son ph?n
male	trai, tr?ng, d?c; con trai, dàn ông, con tr?ng, d?c
mall	búa
man	con ngu?i; dàn ông
manage	qu?n lý, trông nom, di?u khi?n
management	s? qu?n lý, s? trông nom, s? di?u khi?n
manager	ngu?i qu?n lý, giám d?c
manner	cách, l?i, ki?u; dáng, v?, thái d?
manufacturer	ngu?i ch? t?o, ngu?i s?n xu?t
manufacturing	s? s?n xu?t, s? ch? t?o
many	nhi?u
map	b?n d?
march	di?u hành, hành quân; cu?c hành quân, cu?c di?u hành
mark	d?u, nhãn, nhãn mác; dánh d?u, ghi d?u
market	ch?, th? tru?ng
marketing	ma-k?t-tinh
marriage	s? cu?i xin, s? k?t hôn, l? cu?i
married	cu?i, k?t hôn
marry	cu?i
mass	kh?i, kh?i lu?ng; qu?n chúng, d?i chúng
massive	to l?n, d? s?
master	ch?, ch? nhân, th?y giáo, th?c si
match	tr?n thi d?u, d?i th?, d?ch th?; d?i ch?i, sánh du?c
matching	tính d?ch thù, thi d?u
mate	b?n, b?n ngh?; giao ph?i
material	nguyên v?t li?u; v?t ch?t, h?u hình
mathematics	toán h?c, môn toán
matter	ch?t, v?t ch?t; có ý nghia, có tính ch?t quan tr?ng
maximum	c?c d?, t?i da; tr? s? c?c d?i, lu?ng c?c d?i, c?c d?
may	tháng 5
may modal	có th?, có l?
maybe	có th?, có l?
mayor	th? tru?ng
me	tôi, tao, t?
meal	b?a an
mean	nghia, có nghia là
meaning	ý, ý nghia
means	c?a c?i, tài s?n, phuong ti?n
meanwhile	trong lúc dó, trong lúc ?y
measure	do, do lu?ng; s? do lu?ng, don v? do lu?ng
measurement	s? do lu?ng, phép do
meat	th?t
media	phuong ti?n truy?n thông d?i chúng
medical	y h?c
medicine	y h?c, y khoa; thu?c
medium	trung bình, trung, v?a; s? trung gian, s? môi gi?i
meet	g?p, g?p g?
meeting	cu?c mít tinh, cu?c bi?u tình
melt	tan ra, ch?y ra; làm tan ch?y ra
member	thành viên, h?i viên
membership	tu cách h?i viên, d?a v? h?i viên
memory	b? nh?, trí nh?, k? ni?m
mental	trí tu?, trí óc; m?t trí
mentally	v? m?t tinh th?n
mention	k? ra, nói d?n, d? c?p
menu	th?c don
mere	ch? là
merely	ch?, don thu?n
mess	tình tr?ng b?a b?n, tình tr?ng l?n x?n; ngu?i nh?ch nhác, b?n th?u
message	tin nh?n, thu tín, di?n thông báo, thông di?p
metal	kim lo?i
method	phuong pháp, cách th?c
metre	mét
mid- combining form	ti?n t?: m?t n?a
midday	trua, bu?i trua
middle	gi?a, ? gi?a
midnight	n?a dêm, 12h dêm
might modal	qk. may có th?, có l?
mild	nh?, êm d?u, ôn hòa
mile	d?m
military	quân d?i, quân s?
milk	s?a
milligram	mi-li-gam
millimetre	mi-li-met
mind	tâm trí, tinh th?n, trí tu?; chú ý, d? ý, cham sóc, quan tâm
mine	c?a tôi
mineral	công nhân, th? m?; khoáng
minimum	t?i thi?u; s? lu?ng t?i thi?u, m?c t?i thi?u
minister	b? tru?ng
ministry	b?
minor	nh? hon, th? y?u, không quan tr?ng
minority	ph?n ít, thi?u s?
minute	phút
mirror	guong
miss	cô gái, thi?u n?
missing	v?ng, thi?u, th?t l?c
mistake	l?i, sai l?m, l?i l?m; ph?m l?i, ph?m sai l?m
mistaken	sai l?m, hi?u l?m
mix	pha, tr?n l?n; s? pha tr?n
mixed	l?n l?n, pha tr?n
mixture	s? pha tr?n, s? h?n h?p
mobile	chuy?n d?ng, di d?ng
mobile phone	di?n tho?i di d?ng
model	m?u, ki?u m?u
modern	hi?n d?i, tân ti?n
moment	ch?c, lát
monday	th? 2
money	ti?n
monitor	l?p tru?ng, màn hình máy tính; nghe, ghi phát thanh, giám sát
month	tháng
mood	l?i, th?c, di?u
moon	m?t trang
moral	d?o d?c, luân lý, ph?m h?nh; có d?o d?cmorally adv. có d?o d?c
more	hon, nhi?u hon
moreover	hon n?a, ngoài ra, v? l?i
morning	bu?i sáng
most	l?n nh?t, nhi?u nh?t; nh?t, hon c?
mostly	h?u h?t, ch? y?u là
mother	m?
motion	s? chuy?n d?ng, s? di d?ng
motor	d?ng co mô tô
motorcycle	xe mô tô
mount	leo, trèo; núi
mountain	núi
mouse	chu?t
mouth	mi?ng
move	di chuy?n, chuy?n d?ng; s? di chuy?n, s? chuy?n d?ng
movement	s? chuy?n d?ng, s? ho?t d?ng; c? d?ng, d?ng tác
movie	phim xi nê
movie theater	r?p chi?u phim
moving	d?ng, ho?t d?ng
much	nhi?u, l?m
mud	bùn
multiply	nhân lên, làm tang lên nhi?u l?n; sinh sôi n?y n?
mum	m?
murder	t?i gi?t ngu?i, t?i ám sát; gi?t ngu?i, ám sát
muscle	co, b?p th?t
museum	b?o tàng
music	nh?c, âm nh?c
musical	nh?c, âm nh?c; du duong, êm ái
musician	nh?c si
must modal	ph?i, c?n, nên làm
my	c?a tôi
myself	t? tôi, chính tôi
mysterious	th?n bí, huy?n bí, khó hi?u
mystery	di?u huy?n bí, di?u th?n bí
nail	móng  móng vu?t
naked	tr?n, kh?a thân, tro tr?i
name	tên; d?t tên, g?i tên
narrow	h?p, ch?t h?p
nation	dân t?c, qu?c gia
national	qu?c gia, dân t?c
natural	t? nhiên, thiên nhiên
naturally	v?n, t? nhiên, duong nhiên
nature	t? nhiên, thiên nhiên
navy	h?i quân
near	g?n, c?n; ? g?n
nearby	g?n
nearly	g?n, s?p, suýt
neat	s?ch, ngan n?p; rành m?ch
neatly	g?n gàng, ngan n?p
necessarily	t?t y?u, nh?t thi?t
necessary	c?n, c?n thi?t, thi?t y?u
neck	c?
need modal	c?n, dòi h?i; s? c?n
needle	cái kim, mui nh?n
negative	ph? d?nh
neighbour	hàng xóm
neighbourhood	hàng xóm, làng gi?ng
neither	không này mà cung không kia
nephew	cháu trai
nerve	khí l?c, th?n kinh, can d?m
nervous	ho?ng s?, d? b? kích thích, hay lo l?ng
nervously	b?n ch?n, lo l?ng
nest	t?, ?; làm t?
net	lu?i, m?ng
network	m?ng lu?i, h? th?ng
never	không bao gi?, không khi nào
nevertheless	tuy nhiên, tuy th? mà
new	m?i, m?i m?, m?i l?
newly	m?i
news	tin, tin t?c
newspaper	báo
next	sát, g?n, bên c?nh; l?n sau, ti?p n?a
next to	g?n
nice	d?p, thú v?, d? ch?u
nicely	thú v?, d? ch?u
niece	cháu gái
night	dêm, t?i
no exclamation,	không
nobody	không ai, không ngu?i nào
noise	ti?ng ?n, s? huyên náo
noisily	?n ào, huyên náo
noisy	?n ào, huyên náo
none	không ai, không ngu?i, v?t gì
nonsense	l?i nói vô lý, vô nghia
nor	cung không
normal	thu?ng, bình thu?ng; tình tr?ng bình thu?ng
normally	thông thu?ng, nhu thu?ng l?
north	phía b?c, phuong b?c
northern	b?c
nose	mui
not	không
note	l?i ghi, l?i ghi chép; ghi chú, ghi chép
nothing	không gì, không cái gì
notice	thông báo, y?t th?; chú ý, d? ý, nh?n bi?t
noticeable	dáng chú ý, dáng d? ý
novel	ti?u thuy?t, truy?n
november	tháng 11
now	bây gi?, hi?n gi?, hi?n nay
nowhere	không noi nào, không ? dâu
nuclear	h?t nhân
number	s?
nurse	qu? h?ch; d?u
obey	vâng l?i, tuân theo, tuân l?nh
object	v?t, v?t th?; ph?n d?i, ch?ng l?i
objective	m?c tiêu, m?c dích;  m?c tiêu, khách quan
observation	s? quan sát, s? theo dõi
observe	quan sát, theo dõi
obtain	d?t du?c, giành du?c
obvious	rõ ràng, rành m?ch, hi?n nhiên
obviously	m?t cách rõ ràng, có th? th?y du?c
occasion	d?p, co h?i
occasionally	th?nh tho?ng, dôi khi
occupied	dang s? d?ng, d?y
occupy	gi?, chi?m linh, chi?m gi?
occur	x?y ra, x?y d?n, xu?t hi?n
ocean	d?i duong
odd	k? qu?c, k? c?c, l?
oddly	k? qu?c, k? c?c, l?
of	c?a
of course	di nhiên
off	t?t; kh?i, cách, r?i
offence	s? vi ph?m, s? ph?m t?i
offend	xúc ph?m, làm b?c mình, làm khó ch?u
offensive	s? t?n công, cu?c t?n công
offer	bi?u, t?ng, cho; s? tr? giá
office	co quan, van phòng, b?
officer	viên ch?c, c?nh sát, si quan
official	chính quy?n, van phòng; viên ch?c, công ch?c
officially	m?t cách tr?nh tr?ng, m?t cách chính th?c
often	thu?ng, hay, luôn
oh exclamation	chao, ôi chao, chà, này..
oil	d?u
ok  exclamation,	d?ng ý, tán thành
old	già
old-fashioned	l?i th?i
on	trên, ? trên; ti?p t?c, ti?p di?n
on behalf of sb	thay m?t cho ai, nhân danh ai
on board	trên tàu th?y
on purpose	c? tình, c? ý, có ch? tâm
on sb’s behalf	nhân danh cá nhân ai
once	m?t l?n; khi mà, ngay khi, m?t khi
one number,	m?t; m?t ngu?i, m?t v?t nào dó
onion	c? hành
only	ch? có 1, duy nh?t; ch?, m?i
onto	v? phía trên, lên trên
open	m?, ng?; m?, b?t d?u, khai m?c
opening	khe h?, l?; s? b?t d?u, s? khai m?c, l? khánh thành
openly	công khai, th?ng th?n
operate	ho?t d?ng, di?u khi?n
operation	s? ho?t d?ng, quá trình ho?t d?ng
opinion	ý ki?n, quan di?m
opponent	d?ch th?, d?i th?, k? thù
opportunity	co h?i, th?i co
oppose	d?i kháng, d?i ch?i, d?i l?p; ch?ng d?i, ph?n d?i
opposed to	ch?ng l?i, ph?n d?i
opposing	tính d?i kháng, d?i ch?i
opposite	d?i nhau, ngu?c nhau; tru?c m?t, d?i di?n; di?u
opposition	s? d?i l?p, s? d?i nhau; s? ch?ng l?i, s? ph?n d?i; phe d?i
option	s? l?a ch?n
orange	qu? cam; có màu da cam
order	th?, b?c; ra l?nh
ordinary	thu?ng, thông thu?ng
organ	dàn óoc gan
organization	t? ch?c, co quan; s? t? ch?c
organize	t? ch?c, thi?t l?p
organized	có tr?t t?, ngan n?p, du?c s?p x?p, du?c t? ch?c
origin	g?c, ngu?n g?c, can nguyên
original	g?c, ngu?n g?c, can nguyên; nguyên b?n
originally	m?t cách sáng t?o, m?i m?, d?c dáo; kh?i d?u, d?u tiên
other	khác
otherwise	khác, cách khác; n?u không thì...; m?t khác
ought to modal	ph?i, nên, h?n là
our	c?a chúng ta, thu?c chúng ta, c?a chúng tôi, c?a chúng mình
ours	c?a chúng ta, thu?c chúng ta, c?a chúng tôi, c?a chúng mình
ourselves	b?n thân chúng ta, b?n thân chúng tôi, b?n thân chúng mình; t? chúng mình
out	ngoài, ? ngoài, ra ngoài
outdoor	ngoài tr?i, ? ngoài
outdoors	? ngoài tr?i, ? ngoài nhà
outer	? phía ngoài, ? xa hon
outline	v?, phác t?o; du?ng nét, hình dáng, nét ngoài
output	s? s?n xu?t; s?n ph?m, s?n lu?ng
outside	b? ngoài, bên ngoài; ? ngoài; ngoài
outstanding	n?i b?t, dáng chú ý; còn t?n l?i
oven	lò
over	bên trên, vu?t qua; lên, lên trên
overall	toàn b?, toàn th?; t?t c?, bao g?m
overcome	th?ng, chi?n th?ng, kh?c ph?c, dánh b?i
owe	n?, hàm on; có du?c
own	c?a chính mình, t? mình; nh?n, nhìn nh?n
owner	ngu?i ch?, ch? nhân
o’clock	dúng gi?
p.m.	quá trua, chi?u, t?i
pace	bu?c chân, bu?c
pack	gói, b?c; bó, gói
package	gói d?, buu ki?n; dóng gói, dóng ki?n
packaging	bao bì
packet	gói nh?
page	trang
pain	s? dau d?n, s? dau kh?
painful	dau d?n, dau kh?
paint	son, vôi màu; son, quét son
painter	h?a si
painting	s? son; b?c h?a, b?c tranh
pair	dôi, c?p
palace	cung di?n, lâu dài
pale	taí, nh?t
pan	xoong, ch?o
panel	ván ô , pa nô
pants	qu?n lót, dùi
paper	gi?y
parallel	song song, tuong duong
parent	cha, m?
park	công viên, vu?n hoa; khoanh vùng thành công viên
parliament	nghi vi?n, qu?c h?i
part	ph?n, b? ph?n
particular	riêng bi?t, cá bi?t
particularly	m?t cách d?c bi?t, cá bi?t, riêng bi?t
partly	d?n ch?ng m?c nào dó, ph?n nào dó
partner	d?i tác, c?ng s?
partnership	s? chung ph?n, s? c?ng tác
party	ti?c, bu?i liên hoan; d?ng
pass	qua, vu?t qua, ngang qua
passage	s? di qua, s? trôi qua; hành lang
passenger	hành khách
passing	s? di qua, s? trôi qua; thoáng qua, ng?n ng?i
passport	h? chi?u
past	quá kh?, di vãng; quá, qua
path	du?ng mòn; hu?ng di
patience	tính kiên nh?n, nh?n n?i, kiên trì, s? ch?u d?ng
patient	b?nh nhân; kiên nh?n, nh?n n?i, b?n chí
pattern	m?u, khuôn m?u
pause	t?m ngh?, d?ng; s? t?m ngh?, s? t?m ng?ng
pay	tr?, thanh toán, n?p; ti?n luong
payment	s? tr? ti?n, s? ti?n tr?, ti?n b?i thu?ng
peace	hòa bình, s? hòa thu?n
peaceful	hòa bình, thái bình, yên tinh
peak	lu?i trai; d?nh, chóp
pen	bút
pence	d?ng xu
pencil	bút chì
penny	s? ti?n
pension	ti?n tr? c?p, luong huu
people	dân t?c, dòng gi?ng; ngu?i
pepper	h?t tiêu, cây ?t
per	cho m?i
per cent	ph?n tram
perfect	hoàn h?o
perfectly	m?t cách hoàn h?o
perform	bi?u di?n; làm, th?c hi?n
performance	s? làm, s? th?c hi?n, s? thi hành, s? bi?u di?n
performer	ngu?i bi?u di?n, ngu?i trình di?n
perhaps	có th?, có l?
period	k?, th?i k?, th?i gian; th?i d?i
permanent	lâu dài, vinh c?u, thu?ng xuyên
permanently	cách thu?ng xuyên, vinh c?u
permission	s? cho phép, gi?y phép
permit	cho phép, cho co h?i
